file_name,md5_checksum
DMSO_p3_S1_R1_001.fastq.gz,3ab20ea07414c97c2b9c50f08af5026a
DMSO_p3_S1_R2_001.fastq.gz,da8043a32c263cfa9d9bdd8711ac4d7a
DMSO_p5_S5_R1_001.fastq.gz,a59325f94f75086c4e62b55db2ee3d14
DMSO_p5_S5_R2_001.fastq.gz,87f9b141747398e828948b5e77b3b5ff
DMSO_p14_S3_R1_001.fastq.gz,45dcfbf5ed807e9efb1bc552f85e8388
DMSO_p14_S3_R2_001.fastq.gz,79bd330c29562941c480aba1d0436ca9
DMSO_p16_S7_R1_001.fastq.gz,38bef9d5ee649a06073d1fabe68a335e
DMSO_p16_S7_R2_001.fastq.gz,cb016b1f91fe1889346068847fd76a92
3MB_p3_S2_R1_001.fastq.gz,5afd854e59f824a5b19628842bceb26a
3MB_p3_S2_R2_001.fastq.gz,3ab22496eafcc661da0eb14fcc751fe3
3MB_p5_S6_R1_001.fastq.gz,e1f7c0ef54b6b7f574defa8a98783a30
3MB_p5_S6_R2_001.fastq.gz,d1da710772e2cd9c8cde432a9db7ab2e
3MB_p14_S4_R1_001.fastq.gz,2482f592bcfa5e0b1a1a720d78372b67
3MB_p14_S4_R2_001.fastq.gz,0cec4ff4bb5cec3bb97e4e6b63624216
3MB_p16_S8_R1_001.fastq.gz,1b9e3b40a68616876a1c0fb578be7ede
3MB_p16_S8_R2_001.fastq.gz,af99ebb9e37bc8b51b61d2c24649e422
